,trader,symbol,avg_buy_price,avg_sell_price,markup_pct,buy_count,sell_count
0,Paris,JAMS,6485.553945249598,6485.7311912225705,0.0027329349885807375,1242,1276
1,Caesar,CROISSANTS,4264.8059620596205,4267.924613987284,0.0731252946888361,1845,1101
2,Caesar,RAINFOREST_RESIN,9998.552173913044,10001.467479674797,0.02915727908445742,230,246
3,Caesar,SQUID_INK,1877.8675,1879.3412228796844,0.0784785337455629,400,507
4,Caesar,PICNIC_BASKET1,58363.20793950851,58365.770531400965,0.004390766002981827,529,414
5,Caesar,PICNIC_BASKET2,30107.827586206895,30116.703470031545,0.029480319691743695,290,317
6,Caesar,DJEMBES,13341.515652687536,13343.122881355932,0.012046822191980056,1693,1416
7,Caesar,VOLCANIC_ROCK_VOUCHER_10500,3.5833333333333335,3.988400994200497,11.304213791641772,372,1207
8,Caesar,VOLCANIC_ROCK,10066.669395465995,10068.11608300908,0.014371064413176704,1588,1542
9,Camilla,CROISSANTS,4246.75,4264.038690476191,0.4071040319348018,4,672
10,Camilla,RAINFOREST_RESIN,9997.0,10003.0,0.060018005401629715,131,126
11,Camilla,JAMS,6482.190476190476,6485.371757925072,0.049077264024899314,21,1041
12,Camilla,KELP,2033.923076923077,2036.178447276941,0.11088769184308678,793,863
13,Camilla,PICNIC_BASKET1,58363.390593047036,58365.41447368421,0.0034677228595070275,489,304
14,Camilla,PICNIC_BASKET2,30110.33950617284,30115.431159420288,0.016909982852908456,486,276
15,Camilla,MAGNIFICENT_MACARONS,695.7604562737642,697.91796875,0.3100941504768251,263,256
16,Camilla,VOLCANIC_ROCK_VOUCHER_10000,126.61322018758375,155.26254826254825,22.62743813996604,2239,259
17,Camilla,VOLCANIC_ROCK_VOUCHER_10250,26.557563242127,46.46067415730337,74.9432872802314,1937,89
18,Camilla,VOLCANIC_ROCK_VOUCHER_10500,3.5518053375196232,5.0,40.77348066298343,1274,11
19,Olivia,CROISSANTS,4241.333333333333,4299.666666666667,1.3753536623703377,3,3
20,Olivia,KELP,2023.0,2043.6666666666667,1.021585104630085,4,3
21,Olivia,SQUID_INK,1810.0,1970.75,8.881215469613268,3,4
22,Gina,SQUID_INK,1876.3166666666666,1878.2290322580645,0.10192126016741465,120,310
23,Charlie,RAINFOREST_RESIN,9994.36693914623,10005.729364005412,0.11368828989735125,2202,2217
24,Charlie,KELP,2034.019613040021,2036.6712087912088,0.13036234922163548,3773,2275
25,Charlie,SQUID_INK,1878.656979761287,1884.7138350608382,0.3224034703940948,3854,2219
26,Charlie,PICNIC_BASKET2,30101.949579831933,30104.14563106796,0.00729537876011932,238,103
27,Charlie,MAGNIFICENT_MACARONS,705.1794871794872,715.0333333333333,1.3973529197876422,39,360
28,Penelope,VOLCANIC_ROCK_VOUCHER_10500,3.1153846153846154,3.2903225806451615,5.6152927120669105,26,31
29,Pablo,VOLCANIC_ROCK_VOUCHER_10500,2.230769230769231,2.286697247706422,2.507118000632702,13,436
30,Pablo,VOLCANIC_ROCK_VOUCHER_9500,569.75,572.3701149425287,0.45987098596380616,8,435
31,Pablo,VOLCANIC_ROCK,10071.5,10074.316326530612,0.027963327514402003,178,196
